createTime|dependencyTime|mediumId|mediumType|isBlocked
1669693085822|0|0000061572651155949|MAC|false
1669703926500|0|0000061572651155948|WIFI|false
1669790830215|0|0000061572651155680|ATM|false
1670031632839|0|0000061572651156221|ATM|true
1670052576268|0|0000061572651155745|PHONE|false
1670156976375|0|0000061572651156254|NFC|false
1670210562555|0|0000061572651156505|RFID|false
1670213986291|0|0000061572651155570|NFC|false
1670293005208|0|0000061572651156560|ATM|true
1670329335314|0|0000061572651156557|ATM|false
1670334045288|0|0000061572651155856|NFC|false
1670447511810|0|0000061572651156432|ATM|false
1670537383181|0|0000061572651156231|WIFI|false
1670582884388|0|0000061572651155785|ATM|false
1670649901334|0|0000061572651156539|ATM|true
1670680651423|0|0000061572651156610|RFID|false
1670753318416|0|0000061572651156314|IPv6|false
1670759253298|0|0000061572651155702|WIFI|false
1670820002746|0|0000061572651156927|ATM|false
1670886147338|0|0000061572651156850|ATM|false
1670931524836|0|0000061572651155473|NFC|false
1670947110865|0|0000061572651156622|QRCode|false
1671068330562|0|0000061572651155777|PHONE|false
1671068585551|0|0000061572651155910|ATM|false
1671104729027|0|0000061572651155985|MAC|false
1671129528639|0|0000061572651156725|MAC|false
1671547670771|0|0000061572651156124|IPv6|false
1671786980817|0|0000061572651156051|PHONE|false
1671894097000|0|0000061572651156607|IPv4|false
1671996291812|0|0000061572651155918|RFID|false
1672073026234|0|0000061572651156271|POS|false
1672267421051|0|0000061572651156844|IPv4|false
1672308727040|0|0000061572651156312|IPv6|false
1672432873101|0|0000061572651156892|QRCode|true
1672443216901|0|0000061572651156511|QRCode|true
1672505517833|0|0000061572651156779|POS|false
